"Finished","ID","SolarEnergy_1_1","SolarEnergy_2_1","HCost_1_1","HCost_2_1","CompSpend_1_1","CompSpend_2_1","CompSpend_3_1","MATH_1_1","MATH_2_1","LossAgr_1_1","LossAgr_2_1","LossAgr_3_1","AvgTemp_1_1","AvgTemp_2_1","AvgTemp_3_1","Extinction_Total_4","Extinction_AI_4","GCR_Total_4","GCR_AI_4","Extinction_Totalhalf_4","Extinction_AIhalf_4","GCR_Totalhalf_4","GCR_AIhalf_4","ExtinctionTotal_conf","ExtinctionAI_conf","GCR_Total_conf","GCR_AI_conf","ExtTotalHalf_conf","ExtAIhalf_conf","GCR_Totalhalf_conf","GCR_AIhalf_conf"
"True","P4dMaH8wQnr",0.9,0.5,5,2,2e+08,3e+08,6e+07,30,85,1,2,10,1,1.8,3,NA,NA,NA,NA,1e+09,2e+09,5e+08,1e+09,"","","","","Yes","Yes","Yes","Yes"
"True","PU7t4ACvZYH",77,95,1.3,1.9,13600,16000,30000,15,40,5,10,20,1.5,2.8,5.5,NA,NA,NA,NA,1700,30000,1500,600,"","","","","Yes","Yes","Yes","Yes"
"True","PigYLRnvHTn",0.19,0.13,2,1,44000,50000,60000,30,50,0,10,10,1.4,1.5,1.5,2e+08,500,10,2,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Pzvnj39pW56",0.06,0.01,1.5,0.7,6e+08,8.25e+08,1.2e+09,86,92,12,27,39,1.3,1.8,2.5,NA,NA,NA,NA,100,250,7,30,"","","","","Yes","Yes","Yes","Yes"
"True","PiouKOyTKKH",0.06,0.03,4,2,160000,250000,5e+05,8,13,2,5,8,1,3,8,NA,NA,NA,NA,5000,6000,2000,1000,"","","","","Yes","Yes","Yes","Yes"
"True","PpQ3yGUCPuz",0.04,0.02,1,0.5,125,140,160,80,95,0,0,0,1.5,2.5,3.5,10,5,1000,500,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P5KxuczwJ2W",7,4,5,2,209600,335360,670400,30,70,1,2,4,1,0.8,0.6,1.2e+07,1.5e+08,1e+05,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PCP7NaBnElC",8,5,1.5,1.3,2e+05,6e+05,5e+06,30,80,30,50,75,1.5,2.2,3.1,1000,1e+05,80,300,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Po5CxPV0lMx",0.7,0.5,7,5,130000,145000,175000,25,58,0,1,5,2,4,5,NA,NA,NA,NA,9e+07,9e+06,5e+06,8e+07,"","","","","Yes","Yes","Yes","Yes"
"True","PcyS1uH6T3M",0.78,0.6,5,2.4,2e+05,275000,550000,25,70,1,5,15,1.5,1.3,1,NA,NA,NA,NA,1e+06,5e+05,10000,1e+05,"","","","","Yes","Yes","Yes","Yes"
"True","PW6MZDSGgUt",8,5,1.5,1,110000,170000,3e+05,30,60,20,30,50,1,1.5,2,1e+08,2e+07,1e+06,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PRE0hJWOCua",0.8,0.6,1.6,1.4,2.3e+07,2e+07,1.5e+07,7,8,0,0,0,1,0.8,0,NA,NA,NA,NA,12000,25000,1100,200,"","","","","Yes","Yes","Yes","Yes"
"True","Pi3GS2ktt2H",3,10,24,50,25000,3e+05,40000,12,45,65,60,50,1.6,1.2,1,NA,NA,NA,NA,1,2,1,2,"","","","","Yes","Yes","Yes","Yes"
"True","P6YGuuP1Tjg",7,4,4,1,2e+08,2.4e+08,3e+08,6.7,70,0.5,1,2,0.01,0.1,0.5,7e+08,6.7e+08,2e+08,4e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PnLaYYNfwRf",2.67,2.61,50,5,180,250,1e+06,6.9,50,5,10,25,2.5,3,4,10,2,2,2,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PMwPHSHdDSj",0.05,0.03,6,2,6e+08,6.5e+08,8e+08,9,15,0.1,0.3,0.3,1.5,2,2,1e+08,1e+08,5e+07,1e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PXqGWSxUXUO",NA,NA,5,2,2.5e+11,5e+11,3e+12,40,95,0,0.1,0.1,2,2,1,NA,NA,NA,NA,2048,2048,216,216,"","","","","Yes","Yes","Yes","Yes"
"True","PWPJ4iAOo4L",7,5,2,1.3,1.5e+11,2e+11,4e+11,30,90,1,3.5,5.9,1.8,2.5,3.2,5e+07,7e+07,1e+07,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P77wpEGVPzD",0.06,0.05,2.5,2,3.6e+07,4.8e+07,6.5e+07,30,80,0.01,0.05,0.1,1.2,1.3,1.4,NA,NA,NA,NA,10000,7000,1500,1000,"","","","","Yes","Yes","Yes","Yes"
"True","PcKcSuYZSFL",0.08,0.04,4,2,5e+11,7.5e+11,1e+12,45,60,5,10,15,1,-1,-2,100,1000,20,100,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PzdvCnLVur5",0.76,0.5,2.5,1.75,28000,32000,40000,50,80,NA,NA,NA,1,1.2,1.4,1e+08,5e+08,1.5e+08,5e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P1B7umIbdbx",5,3,3.5,2.2,8.8e+11,1.5e+12,3.5e+12,0.8,0.9,15,30,60,1.2,2.2,3,NA,NA,NA,NA,30,99,200,60,"","","","","Yes","Yes","Yes","Yes"
"True","PoMwyaBZi1n",0.77,0.63,7.8,3,140000,220000,120000,22,67,30,70,100,60,65,70,NA,NA,NA,NA,1e+06,5e+05,1e+07,5000,"","","","","Yes","Yes","Yes","Yes"
"True","PI1ighZQeKQ",24,29,3,10,2e+08,1e+07,1e+08,7,9,5,20,40,38,43,47,1e+08,5e+09,5.5e+07,4e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P6vIkmYbNfo",0.9,0.06,3.5,1.5,2.5e+08,5e+08,7.5e+08,30,60,10,12,15,1.5,2,3,1e+08,7.5e+07,8.5e+07,1e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PcwIEA0Nm2k",5,4,5,5,200,250,400,87,92,1e-04,1e-04,0.001,1.5,2,1,1e+12,1e+13,1e+11,1e+12,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PPLUtBt5R4w",0.05,0.01,5,1.2,1.4e+08,2e+08,8e+08,28,95,1,2,10,0.5,1.8,3,1e+09,1e+08,1e+07,1e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PonW3lOpcCy",6,3,1,0.2,1e+12,3e+12,7e+12,30,70,10,50,60,1.8,2.8,2.9,1e+07,10000,1e+05,2500,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PkvFNcYsGZd",0.05,0.03,1.6,1.3,140000,160000,250000,30,55,0,0,0,1.06,2.22,3.5,NA,NA,NA,NA,1e+07,1e+05,1e+05,1e+06,"","","","","Yes","Yes","Yes","Yes"
"True","P6xm9gAv351",0.6,0.3,5,3,140000,150000,180000,30,50,0,5,20,2.6,3,3,NA,NA,NA,NA,20000,50000,3000,6000,"","","","","Yes","Yes","Yes","Yes"
"True","PmE2U3HDzSV",0.04,0.03,NA,NA,5e+07,5.2e+07,5.3e+07,90,100,0,1,5,1.5,2,4,NA,NA,NA,NA,26,2048,2048,2048,"","","","","Yes","Yes","Yes","Yes"
"True","PjOMncdM9Cy",0.03,0.015,5,2,2.5e+11,5e+11,2e+12,35,90,1e-04,0.05,0.1,0.25,0.8,1.1,5e+08,8e+08,9e+08,5e+08,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PZ6cUL9OoB2",0.038,0.03,2.1,1.1,1e+12,2e+13,5e+13,98,100,0.01,3,20,1.6,2.4,2,NA,NA,NA,NA,210,370,97,70,"","","","","Yes","Yes","Yes","Yes"
"True","PIhwuBSzSNx",0.97,0.77,3,1,7e+11,1e+12,2e+12,87.7,97.5,0.1,0.5,3,1.5,2,4,1e+07,1e+07,2500,10000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PL0SkuvXK2f",4,3.5,4,2.5,151000,168000,250000,18,25,1,2,5,15.2,16.6,18.1,80000,110000,50000,1e+05,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P5bFL6MscPG",0.05,0.03,3,1.5,2e+11,5e+11,2e+12,80,95,2,10,20,1.2,1.5,1.5,NA,NA,NA,NA,20,80,10,50,"","","","","Yes","Yes","Yes","Yes"
"True","Pv2PJIDmzbi",0.9,1,NA,NA,247557,299697,359642,35,75,10,15,30,20,25,35,9.9e+07,5e+07,9e+08,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PYETbTdBjKd",5,3,3,2,2e+09,3e+09,0,30,50,10,30,70,3,4,6,5,7,10,20,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Pac3iLqteOA",0.05,0.03,4.5,2,4e+09,1.4e+10,6.2e+10,30,95,15,30,65,1.4,1.8,2.5,NA,NA,NA,NA,20,30,4,12,"","","","","Yes","Yes","Yes","Yes"
"True","PLXpD9Cbh9n",25000,20000,10,25,5.7e+10,7e+10,1e+11,20,30,20,55,80,2.5,5.9,15.5,NA,NA,NA,NA,9e+09,9e+08,20,50000,"","","","","Yes","Yes","Yes","Yes"
"True","P3JtuLZxHUt",0.05,0.03,3,1,1.4e+11,2e+11,6e+11,50,89,0.01,1,5,1.5,1.7,1.8,NA,NA,NA,NA,5000,9000,400,1000,"","","","","Yes","Yes","Yes","Yes"
"True","PlwyHQCC0tO",0.05,0.03,1.3,1,2.64e+11,9e+11,1.5e+12,30,40,0,0,1,1.25,1.3,1.7,250000,5e+05,250000,250000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PezBnBVZmzw",90,85,4,2,150000,175000,2e+05,25,35,10,5,0,0.5,1,2,NA,NA,NA,NA,5000,7500,500,1500,"","","","","Yes","Yes","Yes","Yes"
"True","PJeAERAbOPF",0.06,0.03,5,3,210000,270000,6e+05,14,35,1,5,9,2,2.5,3.5,1e+12,2e+12,1e+10,5e+09,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Pc79rcojNV0",6,3,5,1,1808,2500,5000,30,90,10,30,40,0.7,0.7,0.86,1.5e+07,1.5e+07,3e+05,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PrW9ghLEuh5",0.45,0.07,4,1.6,1.35e+10,5e+10,2e+12,78,89,5,25,45,1.5,1.8,2.3,NA,NA,NA,NA,7500,1000,1e+05,10000,"","","","","Yes","Yes","Yes","Yes"
"True","PzO59nrjL0b",0.05,0.03,3,1.2,2.5e+08,5e+08,9.8e+08,29,50,0,0,0,1.5,2,2.2,NA,NA,NA,NA,1200000,1500000,1e+06,1000100,"","","","","Yes","Yes","Yes","Yes"
"True","PSPwV4t9jvx",2,3,3,7,125000,150000,2e+05,30,60,1,1,1,20,23,28,NA,NA,NA,NA,80,200,20,100,"","","","","Yes","Yes","Yes","Yes"
"True","PhUdns6O9Fp",6.3,4,3.5,1.3,3e+08,4e+08,5e+08,30,80,0,0,0,1.5,1.65,1.8,1e+14,1e+11,1e+11,1e+11,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PrkDZuA2BNZ",10,1,5,2,50,100,200,50,85,20,20,20,2,5,8,NA,NA,NA,NA,1e+06,50000,500,50000,"","","","","Yes","Yes","Yes","Yes"
"True","PjxXbkg074N",0.03,0.0015,5,1.3,260000,520000,1e+06,30,70,3,10,25,1.8,2,1.9,NA,NA,NA,NA,2000,1000,30,300,"","","","","Yes","Yes","Yes","Yes"
"True","P3yLqxiSTDi",0.1,0.5,10,100,1.5e+11,1e+14,1e+19,10,20,0,0,0,1,1,0,1e+07,1e+08,2e+07,2e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PAjCm42lW9X",0.97,0.85,7,1,2e+05,1e+09,5e+09,20,75,10,20,40,1,2,2,1.5e+07,1e+06,1000,5e+05,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","Pl3htoWWyJN",0.7,0.95,1.8,2,2.9,5,6.9,30,40,15,30,45,10,25,30,1e+12,5e+10,1e+10,2e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PbOYlj3R74w",18000,15000,1.7,1.6,6e+11,5e+08,3e+08,42.5,55,10,0,0,0.32,0.15,0.01,NA,NA,NA,NA,1e+12,1e+12,1e+12,1e+12,"","","","","Yes","Yes","Yes","Yes"
"True","PhuEnQRJ1qi",0.02,0.01,5,3,250000,5e+05,650000,35,65,0,5,15,2,3.5,6,NA,NA,NA,NA,1e+10,1e+10,10000,1e+07,"","","","","Yes","Yes","Yes","Yes"
"True","PhYQIb4XzOA",0.06,0.04,2.9,1.3,140000,145000,2e+05,30,55,10,40,70,1,4,7,1.5e+07,1.5e+07,9e+06,1e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PaLTmhWsVUB",0.05,0.04,1.5,1.25,3.82e+11,7.81e+11,3.34e+12,7,50,1e-05,1e-04,0.005,1.3,1.4,1.7,1e+09,1e+09,1e+06,1e+09,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P1EelDibiO2",0.78,0.56,2.5,1.5,1e+06,1e+08,1e+09,10,30,1,10,50,2,5,9,NA,NA,NA,NA,10,5,500,100,"","","","","Yes","Yes","Yes","Yes"
"True","PNMkqJmNyVy",5000,7000,24,53,1e+09,5e+09,1.56e+11,97,99,1,1,1,27,30,50,NA,NA,NA,NA,2048,2048,2048,2048,"","","","","Yes","Yes","Yes","Yes"
"True","PoXfHuaqm90",0.035,0.02,3,2,1.965e+10,1.95845e+11,293767500000,30,70,0,0,0.1,1,1.25,1.5,NA,NA,NA,NA,1e+08,5e+07,1e+06,5e+05,"","","","","Yes","Yes","Yes","Yes"
"True","PVosmGZv9pj",0.05,0.03,6,4,1.9e+11,2.1e+11,4.7e+11,78,97,1,2,4,1,1,1,NA,NA,NA,NA,10000,1e+07,5000,5e+05,"","","","","Yes","Yes","Yes","Yes"
"True","PgUt4xY0psJ",0.74,0.66,1.3,1,2e+05,2.2e+08,275000,30,65,10,15,20,23,25,29,NA,NA,NA,NA,3000,3900,1200,1000,"","","","","Yes","Yes","Yes","Yes"
