"Finished","ID","NYTAI","CountryNukeUse_1_1","CountryNukeUse_2_1","CountryNukeUse_3_1","CountryNukeUse_4_1","CountryNukeUse_5_1","CountryNukeUse_6_1","CountryNukeUse_7_1","CountryNukeUse_8_1","CountryNukeUse_9_1","CountryNukeUse_10_1","CountryNukeUse_11_1","CountryNukeUse_12_1","SolarWindEnergy_1_1","SolarWindEnergy_2_1","CO2Cap_1_1","CO2Cap_2_1","Bostrom_1_1","Bostrom_2_1","Bostrom_3_1","GDP115_actual","Extinction_Total","Extinction_AI","GCR_Total","GCR_AI","Extinction_Totalhalf","Extinction_AIhalf","GCR_Totalhalf","GCR_AIhalf"
"True","PWcvIgTIYRW",2038,60,40,50,70,90,80,95,40,40,40,40,85,12,16,19,30,20,60,90,20,7e-10,5e-07,8e-06,6e-06,NA,NA,NA,NA
"True","P0BvNGszIQa",2037,40,23,15,53,62,36,65,42,42,6,6,12,14,27,60,85,40,65,87,2063,NA,NA,NA,NA,2e-04,1e-06,0.2,0.002
"True","PnLaYYNfwRf",2025,1,0.1,0.1,0.1,2,1,2,0,0,1,1,10,15,30,0.1,0.4,50,50,100,100,NA,NA,NA,NA,50,25,50,10
"True","P77wpEGVPzD",2050,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.1,0.2,0.1,0.15,0.2,14,20,75,85,0.2,0.4,0.7,10,NA,NA,NA,NA,0.005,5e-04,0.05,0.001
"True","PRE0hJWOCua",2025,0.01,0.01,0.01,0.01,0.9,0.02,0.01,0.01,0.02,0.02,0.02,99.9,11.9,19.7,2,2.9,50,75,90,60,NA,NA,NA,NA,0,0,0.67,0
"True","P5KxuczwJ2W",2035,5,6,5,14,10,3,6,2,11,18,10,10,22,45,5e+06,1.4e+07,30,65,80,12,3,1,12,2,NA,NA,NA,NA
"True","PW6MZDSGgUt",2035,30,1,1,1,15,1,20,1,20,0,0,10,13,19,75,89,10,20,30,65,NA,NA,NA,NA,0.05,0.025,0.05,0.0025
"True","Pj46o0WZGML",2035,1,0,0,0,0,0,1,0,1,3,5,90,15,35,65,90,0,40,90,100,55,40,90,80,NA,NA,NA,NA
"True","PAjCm42lW9X",65,0,0,40,65,25,50,25,25,35,0,0,0,11,18,0.005,0.08,0,20,50,50,NA,NA,NA,NA,1,1,25,10
"True","P4dMaH8wQnr",2140,0,0,0,0,0,0,0,0,0,0,0,100,13,25,7,85,10,25,95,80,NA,NA,NA,NA,1e-04,1e-07,1,0.05
