"Finished","ID","Lab.Leak_1_1","Lab.Leak_2_1","Lab.Leak_3_1","USGDPFromSoft_1_1","USGDPFromSoft_2_1","USGDPFromSoft_3_1","ComputeCost_1_1","ComputeCost_2_1","ComputeCost_3_1","GFLOPS_1_1","GFLOPS_2_1","GFLOPS_3_1","Pew_1_1","Pew_2_1","Pew_3_1","Happiness_1_1","Happiness_2_1","Happiness_3_1"
TRUE,"PMXIGyEoj6X",1,1,1,5,5,5,4,4,4,2,2,2,3,3,3,6,6,6
TRUE,"PoMwyaBZi1n",1,4,7,15,25,47,50000000000,100000000000,200000000000,3,7,12,10,25,70,65,65,65
TRUE,"PiouKOyTKKH",0.3,0.5,1,3,4,6,5000000,40000000,250000000,14,16,18,40,45,50,86,88,89
TRUE,"P6YGuuP1Tjg",0,0,0,3.1,4.5,6.8,3000000000000,5000000000000,7000000000000,15000,16500,19000,43,40,20,83,86,89
TRUE,"PPLUtBt5R4w",0,0,1,4,6,12,400000000000000000000,49999999999999995805696,10000000000000000,0.03,0.03,0.05,35,40,60,89,90,89
TRUE,"PHbsqHkEIIT",1,2,5,3,7,13,115000000000,200000000000,260000000000,14,16,20,55,60,65,44,50,45
TRUE,"PCl9n7LZpob",0,20,30,20,30,50,10000000,30000000,400000000,1,1,2,45,50,90,30,20,10
TRUE,"PJzN0Kh3gZJ",3,5,7,4,5,8,20000000,30000000,50000000,0.03,0.02,0.1,45,50,55,14,17,20
TRUE,"P3yLqxiSTDi",1,5,10,3,5,10,6000000,10000000,100000000,0.01,0.05,0.05,60,70,80,86,80,75
TRUE,"P77wpEGVPzD",0,0,1,3.5,4.5,6,1000000,100000,10000,0.01,0.005,0.0005,32,28,25,80,75,74
TRUE,"PO7X31WX2UA",1,2,2,4,8,18,4000000,2.7,1000000,0.02,0.01,0.01,44,36,22,81,76,82
TRUE,"PgVAWQihvSf",0,0,1,3.3,4.1,14.5,6,20,35,15,14,10,34,38,20,82,79,85
TRUE,"PRE0hJWOCua",0,0,0,3.03,3,2.8,4000000000,4.1,4.3,9000,9700,10000,44,43,28,86,86,86
TRUE,"PJAPi8RgHSk",0,1,3,3.8,5,8,40000000,70000000,50000000,0.01,0.005,0.001,55,60,70,84,86,90
TRUE,"PLXpD9Cbh9n",1000,3000,7000,10,50,45,200000000000,500000000000,450000000000,25,50,100,30,50,70,60,80,60
TRUE,"PcyS1uH6T3M",0,0,1,3.05,3.1,4,10000000,10000000,10000000,0.03,0.02,0.02,55,59,65,84,82,78
TRUE,"Po5CxPV0lMx",0,0,1,10,12,14,10,12,14,0.05,0.04,0.03,1,2,5,33,33,33
TRUE,"PSQ0iHOQh3f",1,1,3,2.98,2.53,2.37,9200000,4600000,3500000,0.04,0.01,0.005,35,31,25,65,67,75
TRUE,"PkvFNcYsGZd",0,0,0,3.07,5.75,7.5,10000000,200000000000,100000000000,0.03,0.02,0.01,48,49,58,87,90,85
TRUE,"Pf4NRy23f5M",0,0,1,3.2,4,15,5000000000,5000000000,25000000000,0.02,0.01,0.01,20,20,10,85,82,78
TRUE,"PCP7NaBnElC",2,10,15,25,40,45,50,150,350,0.1,0.5,1,70,55,35,55,50,40
TRUE,"P6vIkmYbNfo",0,1,1,10,12,20,110000000000,300000000000,800000000000,0.3,0.2,0.1,35,38,40,45,55,70
TRUE,"PwTtMCm7vCB",0,0.5,4,3.05,3.95,6,7000000,17000000,35000000,0.05,0.075,0.1,51,57,42,63,53,32
TRUE,"Pj1H14UO1Pu",0,0,1,3.05,3.07,3.25,25000000,25000000,25000000,0.02,0.02,0.01,54,55,60,85,86,88
TRUE,"PeBnKQQqazS",0,0.02,0.02,3,3.5,12,6000000,12000000,75000000,0.03,0.03,0.02,56,48,35,78,75,69
TRUE,"Pm7aN09ePRI",0,0,2,3,2.5,4.3,12000000000,25000000000,50000000000,0.03,0.03,0,66,50,68,25,50,65
TRUE,"PoCba7e5yKF",8,5,2,4,2,1,150000000000,160000000000,90000000000,16000,18000,4000,60,70,60,75,96,97
TRUE,"PaLTmhWsVUB",0,0,0,3.2,4.5,6.5,10000000,50000000,350000000,0.02,0.01,0.075,40,33,25,85,90,83
TRUE,"P7MWGw9GIkm",0.01,0.04,0.3,309,4,52,281000000000,278000000000,270000000000,41000000000,43000000000,56000000000,30,35,37,81,76,70
